Chan,Energy,Counts
350,   808.84,1
351,   811.40,0
352,   813.97,3
353,   816.53,3
354,   819.10,1
355,   821.66,1
356,   824.23,0
357,   826.79,4
358,   829.35,4
359,   831.92,3
360,   834.48,1
361,   837.05,3
362,   839.61,3
363,   842.18,1
364,   844.74,1
365,   847.31,3
366,   849.87,0
367,   852.44,3
368,   855.00,5
369,   857.56,3
370,   860.13,1
371,   862.69,1
372,   865.26,3
373,   867.82,3
374,   870.39,2
375,   872.95,1
376,   875.52,2
377,   878.08,2
378,   880.65,4
379,   883.21,1
380,   885.77,1
381,   888.34,2
382,   890.90,2
383,   893.47,1
384,   896.03,2
385,   898.60,3
386,   901.16,1
387,   903.73,0
388,   906.29,1
389,   908.85,1
390,   911.42,3
391,   913.98,1
392,   916.55,2
393,   919.11,3
394,   921.68,1
395,   924.24,2
396,   926.81,3
397,   929.37,2
398,   931.94,0
399,   934.50,0
400,   937.06,3
401,   939.63,3
402,   942.19,1
403,   944.76,2
404,   947.32,1
405,   949.89,3
406,   952.45,2
407,   955.02,0
408,   957.58,1
409,   960.15,1
410,   962.71,0
411,   965.27,2
412,   967.84,0
413,   970.40,1
414,   972.97,4
415,   975.53,0
416,   978.10,2
417,   980.66,1
418,   983.23,0
419,   985.79,1
420,   988.35,1
421,   990.92,2
422,   993.48,3
423,   996.05,1
424,   998.61,5
425,  1001.18,0
426,  1003.74,0
427,  1006.31,0
428,  1008.87,4
429,  1011.44,0
430,  1014.00,3
431,  1016.56,2
432,  1019.13,2
433,  1021.69,1
434,  1024.26,0
435,  1026.82,2
436,  1029.39,2
437,  1031.95,1
438,  1034.52,0
439,  1037.08,0
440,  1039.65,0
441,  1042.21,0
442,  1044.77,0
443,  1047.34,2
444,  1049.90,0
445,  1052.47,1
446,  1055.03,2
447,  1057.60,1
448,  1060.16,0
449,  1062.73,2
450,  1065.29,1
451,  1067.85,0
452,  1070.42,1
453,  1072.98,3
454,  1075.55,0
455,  1078.11,0
456,  1080.68,0
457,  1083.24,0
458,  1085.81,1
459,  1088.37,1
460,  1090.94,1
461,  1093.50,1
462,  1096.06,3
463,  1098.63,0
464,  1101.19,1
465,  1103.76,0
466,  1106.32,1
467,  1108.89,2
468,  1111.45,0
469,  1114.02,2
470,  1116.58,3
471,  1119.15,1
472,  1121.71,0
473,  1124.27,1
474,  1126.84,2
475,  1129.40,2
476,  1131.97,1
477,  1134.53,0
478,  1137.10,0
479,  1139.66,1
480,  1142.23,3
481,  1144.79,4
482,  1147.35,4
483,  1149.92,0
484,  1152.48,2
485,  1155.05,2
486,  1157.61,3
487,  1160.18,2
488,  1162.74,3
489,  1165.31,1
490,  1167.87,1
491,  1170.44,1
492,  1173.00,0
493,  1175.56,2
494,  1178.13,0
495,  1180.69,2
496,  1183.26,2
497,  1185.82,3
498,  1188.39,2
499,  1190.95,2
500,  1193.52,1
501,  1196.08,3
502,  1198.65,1
503,  1201.21,0
504,  1203.77,1
505,  1206.34,2
506,  1208.90,1
507,  1211.47,0
508,  1214.03,1
509,  1216.60,2
510,  1219.16,3
511,  1221.73,1
512,  1224.29,0
513,  1226.85,1
514,  1229.42,1
515,  1231.98,0
516,  1234.55,1
517,  1237.11,2
518,  1239.68,1
519,  1242.24,1
520,  1244.81,1
521,  1247.37,3
522,  1249.94,0
523,  1252.50,1
524,  1255.06,0
525,  1257.63,0
526,  1260.19,2
527,  1262.76,0
528,  1265.32,1
529,  1267.89,1
530,  1270.45,1
531,  1273.02,1
532,  1275.58,2
533,  1278.15,0
534,  1280.71,1
535,  1283.27,1
536,  1285.84,2
537,  1288.40,2
538,  1290.97,1
539,  1293.53,0
540,  1296.10,3
