Chan,Energy,Counts
0,   -88.74,0
1,   -86.18,0
2,   -83.61,0
3,   -81.05,0
4,   -78.48,0
5,   -75.92,0
6,   -73.35,0
7,   -70.79,0
8,   -68.23,0
9,   -65.66,0
10,   -63.10,0
11,   -60.53,0
12,   -57.97,11
13,   -55.40,689
14,   -52.84,595
15,   -50.27,398
16,   -47.71,257
17,   -45.15,200
18,   -42.58,155
19,   -40.02,167
20,   -37.45,154
21,   -34.89,147
22,   -32.32,132
23,   -29.76,151
24,   -27.19,153
25,   -24.63,157
26,   -22.06,185
27,   -19.50,217
28,   -16.94,226
29,   -14.37,207
30,   -11.81,213
31,    -9.24,236
32,    -6.68,211
33,    -4.11,217
34,    -1.55,194
35,     1.02,193
36,     3.58,177
37,     6.15,172
38,     8.71,154
39,    11.27,169
40,    13.84,145
41,    16.40,163
42,    18.97,141
43,    21.53,145
44,    24.10,145
45,    26.66,139
46,    29.23,160
47,    31.79,144
48,    34.35,144
49,    36.92,113
50,    39.48,158
51,    42.05,130
52,    44.61,161
53,    47.18,141
54,    49.74,137
55,    52.31,156
56,    54.87,146
57,    57.44,147
58,    60.00,147
59,    62.56,137
60,    65.13,141
61,    67.69,141
62,    70.26,137
63,    72.82,135
64,    75.39,147
65,    77.95,133
66,    80.52,160
67,    83.08,157
68,    85.65,127
69,    88.21,151
70,    90.77,152
71,    93.34,149
72,    95.90,153
73,    98.47,160
74,   101.03,155
75,   103.60,158
76,   106.16,157
77,   108.73,171
78,   111.29,157
79,   113.85,185
80,   116.42,175
81,   118.98,178
82,   121.55,201
83,   124.11,212
84,   126.68,183
85,   129.24,178
86,   131.81,177
87,   134.37,196
88,   136.94,210
89,   139.50,190
90,   142.06,182
91,   144.63,184
92,   147.19,174
93,   149.76,180
94,   152.32,169
95,   154.89,166
96,   157.45,171
97,   160.02,166
98,   162.58,158
99,   165.15,163
100,   167.71,175
101,   170.27,170
102,   172.84,160
103,   175.40,156
104,   177.97,175
105,   180.53,153
106,   183.10,174
107,   185.66,151
108,   188.23,158
109,   190.79,152
110,   193.35,154
111,   195.92,131
112,   198.48,139
113,   201.05,144
114,   203.61,162
115,   206.18,132
116,   208.74,158
117,   211.31,151
118,   213.87,128
119,   216.44,138
120,   219.00,140
121,   221.56,147
122,   224.13,139
123,   226.69,161
124,   229.26,109
125,   231.82,150
126,   234.39,135
127,   236.95,109
128,   239.52,132
129,   242.08,123
130,   244.65,131
131,   247.21,133
132,   249.77,118
133,   252.34,112
134,   254.90,132
135,   257.47,133
136,   260.03,128
137,   262.60,123
138,   265.16,122
139,   267.73,142
140,   270.29,131
141,   272.85,146
142,   275.42,120
143,   277.98,121
144,   280.55,115
145,   283.11,121
146,   285.68,122
147,   288.24,148
148,   290.81,111
149,   293.37,133
150,   295.94,140
151,   298.50,140
152,   301.06,127
153,   303.63,108
154,   306.19,108
155,   308.76,102
156,   311.32,114
157,   313.89,118
158,   316.45,113
159,   319.02,108
160,   321.58,111
161,   324.15,121
162,   326.71,130
163,   329.27,112
164,   331.84,110
165,   334.40,119
166,   336.97,130
167,   339.53,103
168,   342.10,103
169,   344.66,135
170,   347.23,116
171,   349.79,125
172,   352.35,122
173,   354.92,140
174,   357.48,107
175,   360.05,137
176,   362.61,127
177,   365.18,124
178,   367.74,137
179,   370.31,132
180,   372.87,123
181,   375.44,110
182,   378.00,98
183,   380.56,101
184,   383.13,124
185,   385.69,127
186,   388.26,125
187,   390.82,117
188,   393.39,148
189,   395.95,109
190,   398.52,121
191,   401.08,106
192,   403.65,101
193,   406.21,117
194,   408.77,101
195,   411.34,115
196,   413.90,114
197,   416.47,99
198,   419.03,82
199,   421.60,95
200,   424.16,96
201,   426.73,78
202,   429.29,98
203,   431.85,77
204,   434.42,70
205,   436.98,54
206,   439.55,70
207,   442.11,54
208,   444.68,54
209,   447.24,56
210,   449.81,57
211,   452.37,49
212,   454.94,43
213,   457.50,48
214,   460.06,47
215,   462.63,40
216,   465.19,39
217,   467.76,29
218,   470.32,23
219,   472.89,39
220,   475.45,19
221,   478.02,32
222,   480.58,18
223,   483.15,25
224,   485.71,20
225,   488.27,22
226,   490.84,20
227,   493.40,20
228,   495.97,15
229,   498.53,21
230,   501.10,22
231,   503.66,21
232,   506.23,17
233,   508.79,17
234,   511.35,20
235,   513.92,18
236,   516.48,17
237,   519.05,16
238,   521.61,16
239,   524.18,13
240,   526.74,13
241,   529.31,13
242,   531.87,10
243,   534.44,17
244,   537.00,19
245,   539.56,18
246,   542.13,20
247,   544.69,18
248,   547.26,15
249,   549.82,25
250,   552.39,14
251,   554.95,24
252,   557.52,28
253,   560.08,19
254,   562.65,24
255,   565.21,30
256,   567.77,53
257,   570.34,42
258,   572.90,45
259,   575.47,56
260,   578.03,67
261,   580.60,84
262,   583.16,84
263,   585.73,95
264,   588.29,90
265,   590.85,129
266,   593.42,137
267,   595.98,173
268,   598.55,192
269,   601.11,181
270,   603.68,242
271,   606.24,239
272,   608.81,238
273,   611.37,284
274,   613.94,314
275,   616.50,358
276,   619.06,351
277,   621.63,379
278,   624.19,412
279,   626.76,456
280,   629.32,404
281,   631.89,480
282,   634.45,470
283,   637.02,461
284,   639.58,444
285,   642.15,466
286,   644.71,464
287,   647.27,413
288,   649.84,421
289,   652.40,390
290,   654.97,372
291,   657.53,386
292,   660.10,343
293,   662.66,314
294,   665.23,261
295,   667.79,250
296,   670.35,248
297,   672.92,215
298,   675.48,207
299,   678.05,169
300,   680.61,168
301,   683.18,132
302,   685.74,127
303,   688.31,88
304,   690.87,98
305,   693.44,68
306,   696.00,63
307,   698.56,56
308,   701.13,47
309,   703.69,39
310,   706.26,29
311,   708.82,23
312,   711.39,19
313,   713.95,31
314,   716.52,25
315,   719.08,14
316,   721.65,13
317,   724.21,13
318,   726.77,12
319,   729.34,6
320,   731.90,9
321,   734.47,4
322,   737.03,6
323,   739.60,7
324,   742.16,4
325,   744.73,3
326,   747.29,5
327,   749.85,2
328,   752.42,0
329,   754.98,2
330,   757.55,6
331,   760.11,2
332,   762.68,5
333,   765.24,5
334,   767.81,5
335,   770.37,3
336,   772.94,1
337,   775.50,3
338,   778.06,7
339,   780.63,4
340,   783.19,7
341,   785.76,1
342,   788.32,0
343,   790.89,3
344,   793.45,2
345,   796.02,3
346,   798.58,3
347,   801.15,2
348,   803.71,5
349,   806.27,1
350,   808.84,1
351,   811.40,2
352,   813.97,2
353,   816.53,2
354,   819.10,2
355,   821.66,3
356,   824.23,1
357,   826.79,2
358,   829.35,1
359,   831.92,1
360,   834.48,1
361,   837.05,3
362,   839.61,2
363,   842.18,3
364,   844.74,1
365,   847.31,3
366,   849.87,3
367,   852.44,0
368,   855.00,2
369,   857.56,3
370,   860.13,4
371,   862.69,4
372,   865.26,2
373,   867.82,3
374,   870.39,4
375,   872.95,5
376,   875.52,1
377,   878.08,0
378,   880.65,5
379,   883.21,2
380,   885.77,1
381,   888.34,1
382,   890.90,4
383,   893.47,1
384,   896.03,5
385,   898.60,4
386,   901.16,1
387,   903.73,1
388,   906.29,4
389,   908.85,3
390,   911.42,4
391,   913.98,5
392,   916.55,3
393,   919.11,3
394,   921.68,2
395,   924.24,3
396,   926.81,2
397,   929.37,1
398,   931.94,6
399,   934.50,4
400,   937.06,3
401,   939.63,3
402,   942.19,4
403,   944.76,3
404,   947.32,2
405,   949.89,6
406,   952.45,2
407,   955.02,1
408,   957.58,2
409,   960.15,1
410,   962.71,1
411,   965.27,2
412,   967.84,3
413,   970.40,0
414,   972.97,2
415,   975.53,2
