Spectrum Name:,
Description:,
Student ID:,
Detector Used:,
Comments:,
Acquisition Mode:,PHA
High Voltage:,550
Conversion Gain:,1024
Coarse Gain:,4
Fine Gain:,1.78
ULD:,102.300000%
LLD:,2.000000%
Calibration Coefficients:,-88.74,2.565
Channels used to calibrate:,492,554
Energies used to calibrate:,1173,1332
Real Time Elapsed:,101.40
Live Time Elapsed:,100.00
Start Time:,Tuesday, January 21, 2025, 14:01:41
End Time:,Tuesday, January 21, 2025, 14:03:23

Channel Data:
Chan,Energy,Counts
321,   734.47,202
322,   737.03,180
323,   739.60,183
324,   742.16,193
325,   744.73,207
326,   747.29,217
327,   749.85,217
328,   752.42,214
329,   754.98,192
330,   757.55,201
331,   760.11,196
332,   762.68,204
333,   765.24,197
334,   767.81,192
335,   770.37,200
336,   772.94,206
337,   775.50,201
338,   778.06,196
339,   780.63,210
340,   783.19,213
341,   785.76,201
342,   788.32,229
343,   790.89,211
344,   793.45,207
345,   796.02,204
346,   798.58,211
347,   801.15,221
348,   803.71,216
349,   806.27,225
350,   808.84,243
351,   811.40,219
352,   813.97,215
353,   816.53,216
354,   819.10,248
355,   821.66,217
356,   824.23,226
357,   826.79,249
358,   829.35,233
359,   831.92,225
360,   834.48,254
361,   837.05,249
362,   839.61,217
363,   842.18,235
364,   844.74,234
365,   847.31,221
366,   849.87,215
367,   852.44,205
368,   855.00,240
369,   857.56,256
370,   860.13,247
371,   862.69,225
372,   865.26,239
373,   867.82,237
374,   870.39,234
375,   872.95,234
376,   875.52,255
377,   878.08,247
378,   880.65,217
379,   883.21,267
380,   885.77,246
381,   888.34,256
382,   890.90,257
383,   893.47,277
384,   896.03,245
385,   898.60,252
386,   901.16,248
387,   903.73,252
388,   906.29,243
389,   908.85,251
390,   911.42,245
391,   913.98,242
392,   916.55,241
393,   919.11,248
394,   921.68,230
395,   924.24,237
396,   926.81,239
397,   929.37,209
398,   931.94,212
399,   934.50,233
400,   937.06,228
401,   939.63,224
402,   942.19,209
403,   944.76,225
404,   947.32,228
405,   949.89,198
406,   952.45,245
407,   955.02,178
408,   957.58,197
409,   960.15,209
410,   962.71,191
411,   965.27,196
412,   967.84,177
413,   970.40,208
414,   972.97,185
415,   975.53,169
416,   978.10,168
417,   980.66,172
418,   983.23,173
419,   985.79,157
420,   988.35,153
421,   990.92,162
422,   993.48,180
423,   996.05,179
424,   998.61,161
425,  1001.18,171
426,  1003.74,183
427,  1006.31,186
428,  1008.87,154
429,  1011.44,156
430,  1014.00,156
431,  1016.56,163
432,  1019.13,163
433,  1021.69,156
434,  1024.26,146
435,  1026.82,170
436,  1029.39,151
437,  1031.95,155
438,  1034.52,155
439,  1037.08,156
440,  1039.65,157
441,  1042.21,142
442,  1044.77,158
443,  1047.34,159
444,  1049.90,149
445,  1052.47,166
446,  1055.03,162
447,  1057.60,148
448,  1060.16,141
449,  1062.73,139
450,  1065.29,156
451,  1067.85,168
452,  1070.42,141
453,  1072.98,156
454,  1075.55,149
455,  1078.11,161
456,  1080.68,137
457,  1083.24,153
458,  1085.81,146
459,  1088.37,137
460,  1090.94,152
461,  1093.50,135
462,  1096.06,134
463,  1098.63,144
464,  1101.19,160
465,  1103.76,152
466,  1106.32,146
467,  1108.89,183
468,  1111.45,166
469,  1114.02,188
470,  1116.58,189
471,  1119.15,162
472,  1121.71,192
473,  1124.27,231
474,  1126.84,235
475,  1129.40,219
476,  1131.97,231
477,  1134.53,233
478,  1137.10,255
479,  1139.66,288
480,  1142.23,311
481,  1144.79,265
482,  1147.35,280
483,  1149.92,300
484,  1152.48,309
485,  1155.05,355
486,  1157.61,363
487,  1160.18,328
488,  1162.74,354
489,  1165.31,368
490,  1167.87,373
491,  1170.44,386
492,  1173.00,416
493,  1175.56,359
494,  1178.13,353
