Spectrum Name:,
Description:,
Student ID:,
Detector Used:,
Comments:,
Acquisition Mode:,PHA
High Voltage:,550
Conversion Gain:,1024
Coarse Gain:,4
Fine Gain:,1.78
ULD:,102.300000%
LLD:,2.000000%
Calibration Coefficients:,-88.74,2.565
Channels used to calibrate:,492,554
Energies used to calibrate:,1173,1332
Real Time Elapsed:,60.81
Live Time Elapsed:,60.00
Start Time:,Tuesday, January 21, 2025, 14:47:39
End Time:,Tuesday, January 21, 2025, 14:48:40

Channel Data:
Chan,Energy,Counts
0,   -88.74,0
1,   -86.18,0
2,   -83.61,0
3,   -81.05,0
4,   -78.48,0
5,   -75.92,0
6,   -73.35,0
7,   -70.79,0
8,   -68.23,0
9,   -65.66,0
10,   -63.10,0
11,   -60.53,0
12,   -57.97,4
13,   -55.40,114
14,   -52.84,146
15,   -50.27,149
16,   -47.71,154
17,   -45.15,179
18,   -42.58,168
19,   -40.02,171
20,   -37.45,161
21,   -34.89,151
22,   -32.32,158
23,   -29.76,175
24,   -27.19,181
25,   -24.63,180
26,   -22.06,201
27,   -19.50,201
28,   -16.94,240
29,   -14.37,223
30,   -11.81,233
31,    -9.24,227
32,    -6.68,224
33,    -4.11,181
34,    -1.55,210
35,     1.02,202
36,     3.58,187
37,     6.15,177
38,     8.71,170
39,    11.27,164
40,    13.84,138
41,    16.40,135
42,    18.97,122
43,    21.53,149
44,    24.10,154
45,    26.66,115
46,    29.23,154
47,    31.79,139
48,    34.35,145
49,    36.92,142
50,    39.48,161
51,    42.05,126
52,    44.61,128
53,    47.18,147
54,    49.74,146
55,    52.31,134
56,    54.87,131
57,    57.44,139
58,    60.00,165
59,    62.56,142
60,    65.13,139
61,    67.69,152
62,    70.26,130
63,    72.82,133
64,    75.39,153
65,    77.95,140
66,    80.52,134
67,    83.08,146
68,    85.65,145
69,    88.21,137
70,    90.77,155
71,    93.34,135
72,    95.90,139
73,    98.47,151
74,   101.03,147
75,   103.60,171
76,   106.16,150
77,   108.73,151
78,   111.29,172
79,   113.85,156
80,   116.42,145
81,   118.98,144
82,   121.55,150
83,   124.11,163
84,   126.68,162
85,   129.24,148
86,   131.81,154
87,   134.37,191
88,   136.94,188
89,   139.50,164
90,   142.06,187
91,   144.63,191
92,   147.19,209
93,   149.76,207
94,   152.32,179
95,   154.89,223
96,   157.45,199
97,   160.02,216
98,   162.58,214
99,   165.15,232
100,   167.71,193
101,   170.27,224
102,   172.84,215
103,   175.40,218
104,   177.97,231
105,   180.53,205
106,   183.10,207
107,   185.66,204
108,   188.23,203
109,   190.79,193
110,   193.35,172
111,   195.92,193
112,   198.48,192
113,   201.05,205
114,   203.61,188
115,   206.18,187
116,   208.74,172
117,   211.31,180
118,   213.87,192
119,   216.44,170
120,   219.00,161
121,   221.56,184
122,   224.13,177
123,   226.69,176
124,   229.26,170
125,   231.82,182
126,   234.39,163
127,   236.95,156
128,   239.52,158
129,   242.08,186
130,   244.65,172
131,   247.21,166
132,   249.77,156
133,   252.34,160
134,   254.90,160
135,   257.47,137
136,   260.03,136
137,   262.60,142
138,   265.16,165
139,   267.73,144
140,   270.29,148
141,   272.85,124
142,   275.42,147
143,   277.98,140
144,   280.55,140
145,   283.11,128
146,   285.68,128
147,   288.24,140
148,   290.81,141
149,   293.37,118
150,   295.94,122
151,   298.50,133
152,   301.06,125
153,   303.63,128
154,   306.19,134
155,   308.76,128
156,   311.32,132
157,   313.89,109
158,   316.45,128
159,   319.02,128
160,   321.58,133
161,   324.15,127
162,   326.71,138
163,   329.27,112
164,   331.84,116
165,   334.40,125
166,   336.97,126
167,   339.53,140
168,   342.10,122
169,   344.66,113
170,   347.23,119
171,   349.79,132
172,   352.35,118
173,   354.92,123
174,   357.48,108
175,   360.05,113
176,   362.61,114
177,   365.18,123
178,   367.74,103
179,   370.31,131
180,   372.87,127
181,   375.44,134
182,   378.00,108
183,   380.56,112
184,   383.13,123
185,   385.69,109
186,   388.26,131
187,   390.82,87
188,   393.39,115
189,   395.95,99
190,   398.52,128
191,   401.08,98
192,   403.65,112
193,   406.21,96
194,   408.77,108
195,   411.34,130
196,   413.90,102
197,   416.47,99
198,   419.03,107
199,   421.60,96
200,   424.16,119
201,   426.73,132
202,   429.29,111
203,   431.85,113
204,   434.42,105
205,   436.98,112
206,   439.55,87
207,   442.11,105
208,   444.68,112
209,   447.24,101
210,   449.81,127
211,   452.37,114
212,   454.94,128
213,   457.50,98
214,   460.06,108
215,   462.63,104
216,   465.19,97
217,   467.76,114
218,   470.32,113
219,   472.89,104
220,   475.45,117
221,   478.02,125
222,   480.58,107
223,   483.15,103
224,   485.71,108
225,   488.27,121
226,   490.84,114
227,   493.40,113
228,   495.97,97
229,   498.53,113
230,   501.10,90
231,   503.66,118
232,   506.23,105
233,   508.79,105
234,   511.35,92
235,   513.92,101
236,   516.48,76
237,   519.05,118
238,   521.61,104
239,   524.18,109
240,   526.74,90
241,   529.31,108
242,   531.87,100
243,   534.44,108
244,   537.00,99
245,   539.56,100
246,   542.13,88
247,   544.69,105
248,   547.26,115
249,   549.82,103
250,   552.39,96
251,   554.95,112
252,   557.52,101
253,   560.08,107
254,   562.65,112
255,   565.21,108
256,   567.77,109
257,   570.34,123
258,   572.90,120
259,   575.47,101
260,   578.03,133
261,   580.60,104
262,   583.16,94
263,   585.73,104
264,   588.29,118
265,   590.85,103
266,   593.42,106
267,   595.98,89
268,   598.55,102
269,   601.11,125
270,   603.68,102
271,   606.24,97
272,   608.81,116
273,   611.37,114
