Spectrum Name:,
Description:,
Student ID:,
Detector Used:,
Comments:,
Acquisition Mode:,PHA
High Voltage:,550
Conversion Gain:,1024
Coarse Gain:,4
Fine Gain:,1.78
ULD:,102.300000%
LLD:,2.000000%
Calibration Coefficients:,-88.74,2.565
Channels used to calibrate:,492,554
Energies used to calibrate:,1173,1332
Real Time Elapsed:,60.30
Live Time Elapsed:,60.00
Start Time:,Tuesday, January 21, 2025, 14:43:00
End Time:,Tuesday, January 21, 2025, 14:44:01

Channel Data:
Chan,Energy,Counts
321,   734.47,3
322,   737.03,1
323,   739.60,5
324,   742.16,2
325,   744.73,4
326,   747.29,0
327,   749.85,2
328,   752.42,0
329,   754.98,0
330,   757.55,2
331,   760.11,0
332,   762.68,0
333,   765.24,0
334,   767.81,2
335,   770.37,2
336,   772.94,2
337,   775.50,1
338,   778.06,1
339,   780.63,2
340,   783.19,2
341,   785.76,1
342,   788.32,0
343,   790.89,1
344,   793.45,3
345,   796.02,1
346,   798.58,0
347,   801.15,1
348,   803.71,2
349,   806.27,1
350,   808.84,4
351,   811.40,2
352,   813.97,2
353,   816.53,0
354,   819.10,0
355,   821.66,2
356,   824.23,0
357,   826.79,0
358,   829.35,0
359,   831.92,1
360,   834.48,2
361,   837.05,1
362,   839.61,0
363,   842.18,0
364,   844.74,1
365,   847.31,3
366,   849.87,2
367,   852.44,2
368,   855.00,3
369,   857.56,0
370,   860.13,2
371,   862.69,1
372,   865.26,0
373,   867.82,0
374,   870.39,0
375,   872.95,1
376,   875.52,0
377,   878.08,2
378,   880.65,0
379,   883.21,2
380,   885.77,1
381,   888.34,3
382,   890.90,1
383,   893.47,4
384,   896.03,0
385,   898.60,1
386,   901.16,0
387,   903.73,0
388,   906.29,1
389,   908.85,4
390,   911.42,0
391,   913.98,1
392,   916.55,0
393,   919.11,0
394,   921.68,1
395,   924.24,1
396,   926.81,0
397,   929.37,1
398,   931.94,3
399,   934.50,0
400,   937.06,2
401,   939.63,2
402,   942.19,1
403,   944.76,0
404,   947.32,3
405,   949.89,2
406,   952.45,0
407,   955.02,3
408,   957.58,1
409,   960.15,1
410,   962.71,1
411,   965.27,1
412,   967.84,1
413,   970.40,3
414,   972.97,0
415,   975.53,1
416,   978.10,1
417,   980.66,1
418,   983.23,1
419,   985.79,0
420,   988.35,0
421,   990.92,0
422,   993.48,0
423,   996.05,1
424,   998.61,0
425,  1001.18,0
426,  1003.74,1
427,  1006.31,0
428,  1008.87,1
429,  1011.44,1
430,  1014.00,2
431,  1016.56,1
432,  1019.13,0
433,  1021.69,2
434,  1024.26,2
435,  1026.82,1
436,  1029.39,1
437,  1031.95,0
438,  1034.52,1
439,  1037.08,1
440,  1039.65,1
441,  1042.21,0
442,  1044.77,1
443,  1047.34,1
444,  1049.90,0
445,  1052.47,0
446,  1055.03,0
447,  1057.60,3
448,  1060.16,0
449,  1062.73,1
450,  1065.29,0
451,  1067.85,1
452,  1070.42,1
453,  1072.98,0
454,  1075.55,0
455,  1078.11,1
456,  1080.68,1
457,  1083.24,3
458,  1085.81,0
459,  1088.37,2
460,  1090.94,2
461,  1093.50,1
462,  1096.06,0
463,  1098.63,0
464,  1101.19,1
465,  1103.76,0
466,  1106.32,4
467,  1108.89,0
468,  1111.45,1
469,  1114.02,1
470,  1116.58,1
471,  1119.15,1
472,  1121.71,0
473,  1124.27,0
474,  1126.84,1
475,  1129.40,1
476,  1131.97,1
477,  1134.53,0
478,  1137.10,5
479,  1139.66,2
480,  1142.23,0
481,  1144.79,0
482,  1147.35,0
483,  1149.92,0
484,  1152.48,0
485,  1155.05,1
486,  1157.61,1
487,  1160.18,1
488,  1162.74,0
489,  1165.31,1
490,  1167.87,2
491,  1170.44,3
492,  1173.00,0
493,  1175.56,1
494,  1178.13,1
495,  1180.69,0
496,  1183.26,0
497,  1185.82,1
498,  1188.39,1
499,  1190.95,1
500,  1193.52,2
501,  1196.08,1
502,  1198.65,0
503,  1201.21,0
504,  1203.77,1
505,  1206.34,0
506,  1208.90,0
507,  1211.47,0
508,  1214.03,1
509,  1216.60,3
510,  1219.16,0
511,  1221.73,1
512,  1224.29,0
513,  1226.85,0
514,  1229.42,1
515,  1231.98,1
516,  1234.55,1
517,  1237.11,1
518,  1239.68,1
519,  1242.24,1
520,  1244.81,0
521,  1247.37,0
522,  1249.94,0
523,  1252.50,0
524,  1255.06,0
525,  1257.63,0
526,  1260.19,0
527,  1262.76,0
528,  1265.32,0
529,  1267.89,0
530,  1270.45,0
531,  1273.02,0
532,  1275.58,0
533,  1278.15,0
534,  1280.71,0
535,  1283.27,1
536,  1285.84,0
537,  1288.40,1
538,  1290.97,1
539,  1293.53,0
540,  1296.10,0
541,  1298.66,1
542,  1301.23,2
543,  1303.79,0
544,  1306.35,0
545,  1308.92,1
546,  1311.48,1
547,  1314.05,3
548,  1316.61,1
549,  1319.18,0
550,  1321.74,1
551,  1324.31,1
552,  1326.87,0
553,  1329.44,1
554,  1332.00,2
555,  1334.56,0
556,  1337.13,0
557,  1339.69,1
558,  1342.26,0
559,  1344.82,1
560,  1347.39,1
561,  1349.95,0
562,  1352.52,0
563,  1355.08,1
564,  1357.65,0
565,  1360.21,0
566,  1362.77,1
567,  1365.34,0
568,  1367.90,1
569,  1370.47,0
570,  1373.03,4
571,  1375.60,3
572,  1378.16,0
573,  1380.73,0
574,  1383.29,1
575,  1385.85,0
576,  1388.42,0
577,  1390.98,0
578,  1393.55,1
579,  1396.11,0
580,  1398.68,1
581,  1401.24,1
582,  1403.81,2
583,  1406.37,1
584,  1408.94,0
585,  1411.50,0
586,  1414.06,0
587,  1416.63,0
588,  1419.19,1
589,  1421.76,0
590,  1424.32,0
591,  1426.89,1
592,  1429.45,0
593,  1432.02,0
594,  1434.58,1
595,  1437.15,1
596,  1439.71,1
597,  1442.27,0
598,  1444.84,0
599,  1447.40,0
600,  1449.97,1
601,  1452.53,2
602,  1455.10,0
603,  1457.66,0
604,  1460.23,0
605,  1462.79,1
606,  1465.35,1
607,  1467.92,0
608,  1470.48,0
609,  1473.05,1
610,  1475.61,1
611,  1478.18,0
612,  1480.74,1
613,  1483.31,0
614,  1485.87,0
615,  1488.44,0
616,  1491.00,0
617,  1493.56,0
618,  1496.13,0
619,  1498.69,0
620,  1501.26,0
621,  1503.82,0
622,  1506.39,0
623,  1508.95,0
624,  1511.52,0
625,  1514.08,0
626,  1516.65,0
627,  1519.21,0
628,  1521.77,0
629,  1524.34,0
630,  1526.90,0
631,  1529.47,0
632,  1532.03,1
633,  1534.60,1
634,  1537.16,0
635,  1539.73,0
636,  1542.29,0
637,  1544.85,0
638,  1547.42,0
639,  1549.98,0
640,  1552.55,1
641,  1555.11,1
642,  1557.68,0
643,  1560.24,0
644,  1562.81,0
645,  1565.37,0
646,  1567.94,0
647,  1570.50,0
648,  1573.06,0
649,  1575.63,0
650,  1578.19,0
651,  1580.76,0
652,  1583.32,0
653,  1585.89,0
654,  1588.45,0
655,  1591.02,0
656,  1593.58,0
657,  1596.15,0
658,  1598.71,0
659,  1601.27,0
660,  1603.84,1
661,  1606.40,0
662,  1608.97,0
663,  1611.53,0
664,  1614.10,1
665,  1616.66,0
666,  1619.23,0
667,  1621.79,0
668,  1624.35,0
669,  1626.92,0
670,  1629.48,0
671,  1632.05,1
672,  1634.61,1
673,  1637.18,0
674,  1639.74,0
675,  1642.31,0
676,  1644.87,0
677,  1647.44,0
678,  1650.00,0
679,  1652.56,0
680,  1655.13,0
681,  1657.69,0
682,  1660.26,1
683,  1662.82,0
684,  1665.39,0
685,  1667.95,0
686,  1670.52,0
687,  1673.08,0
688,  1675.65,0
689,  1678.21,0
690,  1680.77,0
691,  1683.34,0
692,  1685.90,0
693,  1688.47,1
694,  1691.03,0
695,  1693.60,0
696,  1696.16,0
697,  1698.73,0
698,  1701.29,1
699,  1703.85,0
700,  1706.42,0
701,  1708.98,0
702,  1711.55,1
703,  1714.11,0
704,  1716.68,0
705,  1719.24,0
706,  1721.81,0
707,  1724.37,0
708,  1726.94,0
709,  1729.50,0
710,  1732.06,0
711,  1734.63,0
712,  1737.19,1
713,  1739.76,1
714,  1742.32,0
715,  1744.89,1
716,  1747.45,1
717,  1750.02,0
718,  1752.58,0
719,  1755.15,0
720,  1757.71,0
721,  1760.27,0
722,  1762.84,0
723,  1765.40,0
724,  1767.97,0
725,  1770.53,0
726,  1773.10,0
727,  1775.66,0
728,  1778.23,0
729,  1780.79,0
730,  1783.35,0
731,  1785.92,0
732,  1788.48,0
733,  1791.05,0
734,  1793.61,0
735,  1796.18,0
736,  1798.74,0
737,  1801.31,0
738,  1803.87,0
739,  1806.44,0
740,  1809.00,1
741,  1811.56,1
742,  1814.13,0
743,  1816.69,0
744,  1819.26,0
745,  1821.82,0
746,  1824.39,0
747,  1826.95,0
748,  1829.52,0
749,  1832.08,0
750,  1834.65,0
751,  1837.21,0
752,  1839.77,0
753,  1842.34,0
754,  1844.90,1
755,  1847.47,0
756,  1850.03,0
757,  1852.60,0
758,  1855.16,0
759,  1857.73,0
760,  1860.29,0
761,  1862.85,0
762,  1865.42,0
763,  1867.98,0
764,  1870.55,0
765,  1873.11,0
766,  1875.68,0
767,  1878.24,0
768,  1880.81,0
769,  1883.37,0
770,  1885.94,0
771,  1888.50,0
772,  1891.06,1
773,  1893.63,0
774,  1896.19,0
775,  1898.76,0
776,  1901.32,0
777,  1903.89,0
778,  1906.45,0
779,  1909.02,0
780,  1911.58,0
781,  1914.15,0
782,  1916.71,1
783,  1919.27,0
784,  1921.84,0
785,  1924.40,0
786,  1926.97,0
787,  1929.53,0
788,  1932.10,0
789,  1934.66,0
790,  1937.23,0
791,  1939.79,0
792,  1942.35,1
793,  1944.92,0
794,  1947.48,0
795,  1950.05,0
796,  1952.61,0
797,  1955.18,0
798,  1957.74,0
799,  1960.31,0
800,  1962.87,0
801,  1965.44,0
802,  1968.00,0
803,  1970.56,1
804,  1973.13,0
805,  1975.69,0
806,  1978.26,1
807,  1980.82,0
808,  1983.39,0
809,  1985.95,0
810,  1988.52,0
811,  1991.08,0
812,  1993.65,0
813,  1996.21,0
814,  1998.77,0
815,  2001.34,0
816,  2003.90,0
817,  2006.47,0
818,  2009.03,1
819,  2011.60,0
820,  2014.16,0
821,  2016.73,0
822,  2019.29,0
823,  2021.85,0
824,  2024.42,0
825,  2026.98,0
826,  2029.55,0
827,  2032.11,0
828,  2034.68,0
829,  2037.24,0
830,  2039.81,0
831,  2042.37,0
832,  2044.94,1
833,  2047.50,0
834,  2050.06,0
835,  2052.63,0
836,  2055.19,0
837,  2057.76,0
838,  2060.32,0
839,  2062.89,0
840,  2065.45,0
841,  2068.02,0
842,  2070.58,0
843,  2073.15,0
844,  2075.71,0
845,  2078.27,0
846,  2080.84,0
847,  2083.40,0
848,  2085.97,0
849,  2088.53,0
850,  2091.10,0
851,  2093.66,0
852,  2096.23,0
853,  2098.79,0
854,  2101.35,0
855,  2103.92,0
856,  2106.48,0
857,  2109.05,0
858,  2111.61,0
859,  2114.18,0
860,  2116.74,0
861,  2119.31,0
862,  2121.87,0
863,  2124.44,0
864,  2127.00,0
865,  2129.56,0
866,  2132.13,0
867,  2134.69,0
868,  2137.26,0
869,  2139.82,0
870,  2142.39,0
871,  2144.95,1
872,  2147.52,0
873,  2150.08,0
874,  2152.65,0
875,  2155.21,0
876,  2157.77,0
877,  2160.34,1
878,  2162.90,0
879,  2165.47,0
880,  2168.03,0
881,  2170.60,0
882,  2173.16,0
883,  2175.73,0
884,  2178.29,1
885,  2180.85,0
886,  2183.42,0
887,  2185.98,0
888,  2188.55,0
889,  2191.11,0
890,  2193.68,0
891,  2196.24,0
892,  2198.81,0
893,  2201.37,0
894,  2203.94,0
895,  2206.50,0
896,  2209.06,0
897,  2211.63,0
898,  2214.19,0
899,  2216.76,0
900,  2219.32,0
901,  2221.89,0
902,  2224.45,0
903,  2227.02,0
904,  2229.58,0
905,  2232.15,0
906,  2234.71,0
907,  2237.27,0
908,  2239.84,0
909,  2242.40,0
910,  2244.97,0
911,  2247.53,0
912,  2250.10,0
913,  2252.66,0
914,  2255.23,0
915,  2257.79,0
916,  2260.35,0
917,  2262.92,0
918,  2265.48,0
919,  2268.05,0
920,  2270.61,0
921,  2273.18,0
922,  2275.74,0
923,  2278.31,0
924,  2280.87,0
925,  2283.44,0
926,  2286.00,1
927,  2288.56,0
928,  2291.13,0
929,  2293.69,0
930,  2296.26,0
931,  2298.82,0
932,  2301.39,0
933,  2303.95,0
934,  2306.52,0
935,  2309.08,0
936,  2311.65,0
937,  2314.21,0
938,  2316.77,0
939,  2319.34,0
940,  2321.90,0
941,  2324.47,0
942,  2327.03,0
943,  2329.60,0
944,  2332.16,0
