Spectrum Name:,
Description:,
Student ID:,
Detector Used:,
Comments:,
Acquisition Mode:,PHA
High Voltage:,550
Conversion Gain:,1024
Coarse Gain:,4
Fine Gain:,1.78
ULD:,102.300000%
LLD:,2.000000%
Calibration Coefficients:,-88.74,2.565
Channels used to calibrate:,492,554
Energies used to calibrate:,1173,1332
Real Time Elapsed:,60.82
Live Time Elapsed:,60.00
Start Time:,Tuesday, January 21, 2025, 14:50:47
End Time:,Tuesday, January 21, 2025, 14:51:48

Channel Data:
Chan,Energy,Counts
321,   734.47,149
322,   737.03,122
323,   739.60,118
324,   742.16,118
325,   744.73,134
326,   747.29,107
327,   749.85,117
328,   752.42,120
329,   754.98,113
330,   757.55,118
331,   760.11,140
332,   762.68,131
333,   765.24,127
334,   767.81,119
335,   770.37,106
336,   772.94,131
337,   775.50,137
338,   778.06,128
339,   780.63,136
340,   783.19,114
341,   785.76,115
342,   788.32,143
343,   790.89,126
344,   793.45,136
345,   796.02,128
346,   798.58,119
347,   801.15,128
348,   803.71,148
349,   806.27,144
350,   808.84,128
351,   811.40,141
352,   813.97,161
353,   816.53,136
354,   819.10,148
355,   821.66,127
356,   824.23,139
357,   826.79,127
358,   829.35,133
359,   831.92,125
360,   834.48,154
361,   837.05,122
362,   839.61,137
363,   842.18,183
364,   844.74,160
365,   847.31,168
366,   849.87,163
367,   852.44,137
368,   855.00,165
369,   857.56,135
370,   860.13,136
371,   862.69,139
372,   865.26,154
373,   867.82,141
374,   870.39,130
375,   872.95,151
376,   875.52,134
377,   878.08,127
378,   880.65,125
379,   883.21,138
380,   885.77,143
381,   888.34,137
382,   890.90,156
383,   893.47,121
384,   896.03,147
385,   898.60,150
386,   901.16,126
387,   903.73,151
388,   906.29,133
389,   908.85,129
390,   911.42,121
391,   913.98,135
392,   916.55,134
393,   919.11,142
394,   921.68,147
395,   924.24,133
396,   926.81,132
397,   929.37,137
398,   931.94,126
399,   934.50,137
400,   937.06,133
401,   939.63,117
402,   942.19,139
403,   944.76,122
404,   947.32,115
405,   949.89,109
406,   952.45,125
407,   955.02,105
408,   957.58,121
409,   960.15,119
410,   962.71,100
411,   965.27,101
412,   967.84,93
413,   970.40,120
414,   972.97,121
415,   975.53,106
416,   978.10,91
417,   980.66,100
418,   983.23,101
419,   985.79,108
420,   988.35,92
421,   990.92,89
422,   993.48,105
423,   996.05,114
424,   998.61,97
425,  1001.18,97
426,  1003.74,113
427,  1006.31,99
428,  1008.87,97
429,  1011.44,107
430,  1014.00,95
431,  1016.56,95
432,  1019.13,96
433,  1021.69,83
434,  1024.26,86
