Chan,Energy,Counts
347,   801.15,5
348,   803.71,5
349,   806.27,3
350,   808.84,5
351,   811.40,4
352,   813.97,2
353,   816.53,10
354,   819.10,6
355,   821.66,2
356,   824.23,3
357,   826.79,4
358,   829.35,8
359,   831.92,3
360,   834.48,2
361,   837.05,6
362,   839.61,6
363,   842.18,2
364,   844.74,1
365,   847.31,3
366,   849.87,7
367,   852.44,5
368,   855.00,5
369,   857.56,2
370,   860.13,0
371,   862.69,6
372,   865.26,3
373,   867.82,2
374,   870.39,3
375,   872.95,3
376,   875.52,4
377,   878.08,7
378,   880.65,2
379,   883.21,2
380,   885.77,8
381,   888.34,4
382,   890.90,6
383,   893.47,5
384,   896.03,6
385,   898.60,3
386,   901.16,7
387,   903.73,4
388,   906.29,3
389,   908.85,5
390,   911.42,2
391,   913.98,4
392,   916.55,1
393,   919.11,0
394,   921.68,3
395,   924.24,4
396,   926.81,0
397,   929.37,4
398,   931.94,4
399,   934.50,2
400,   937.06,4
401,   939.63,2
402,   942.19,1
403,   944.76,2
404,   947.32,3
405,   949.89,3
406,   952.45,2
407,   955.02,3
408,   957.58,1
409,   960.15,4
410,   962.71,1
411,   965.27,1
412,   967.84,1
413,   970.40,2
414,   972.97,4
415,   975.53,4
416,   978.10,3
417,   980.66,3
418,   983.23,4
419,   985.79,3
420,   988.35,3
421,   990.92,2
422,   993.48,3
423,   996.05,2
424,   998.61,4
425,  1001.18,3
426,  1003.74,2
427,  1006.31,0
428,  1008.87,4
429,  1011.44,2
430,  1014.00,1
431,  1016.56,1
432,  1019.13,3
433,  1021.69,5
434,  1024.26,3
435,  1026.82,6
436,  1029.39,1
437,  1031.95,1
438,  1034.52,1
439,  1037.08,2
440,  1039.65,2
441,  1042.21,2
442,  1044.77,2
443,  1047.34,2
444,  1049.90,0
445,  1052.47,1
446,  1055.03,3
447,  1057.60,2
448,  1060.16,3
449,  1062.73,3
450,  1065.29,2
451,  1067.85,5
452,  1070.42,2
453,  1072.98,1
454,  1075.55,1
455,  1078.11,2
456,  1080.68,2
457,  1083.24,4
458,  1085.81,4
459,  1088.37,2
460,  1090.94,4
461,  1093.50,3
462,  1096.06,2
463,  1098.63,2
464,  1101.19,1
465,  1103.76,2
466,  1106.32,1
467,  1108.89,3
468,  1111.45,1
469,  1114.02,1
470,  1116.58,2
471,  1119.15,3
472,  1121.71,3
473,  1124.27,4
474,  1126.84,4
475,  1129.40,1
476,  1131.97,8
477,  1134.53,2
478,  1137.10,0
479,  1139.66,0
480,  1142.23,2
481,  1144.79,6
482,  1147.35,3
483,  1149.92,3
484,  1152.48,0
485,  1155.05,1
486,  1157.61,3
